Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Name,Height,Weight,Year_Born
8,,2013-11-12,25-190,NOP,@,LAL,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
9,,2013-11-13,25-191,NOP,@,UTA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
10,1,2013-11-16,25-194,NOP,,PHI,W (+37),0,26:35,10,16,.625,6,10,.600,0,0,,0,1,1,0,1,0,1,2,26,18.3,+13,Ryan Anderson,6-9,240lb,1988
11,2,2013-11-20,25-198,NOP,,UTA,W (+7),0,33:03,6,9,.667,4,6,.667,3,3,1.000,2,3,5,0,0,1,1,1,19,16.7,+18,Ryan Anderson,6-9,240lb,1988
12,3,2013-11-22,25-200,NOP,,CLE,W (+4),0,31:27,4,10,.400,3,5,.600,2,2,1.000,0,3,3,0,1,1,0,0,13,10.2,+5,Ryan Anderson,6-9,240lb,1988
13,4,2013-11-25,25-203,NOP,@,SAS,L (-19),0,29:04,6,15,.400,1,5,.200,4,4,1.000,2,1,3,0,0,0,0,2,17,9.8,-20,Ryan Anderson,6-9,240lb,1988
14,5,2013-11-26,25-204,NOP,,GSW,L (-1),0,36:44,8,17,.471,3,6,.500,2,2,1.000,4,8,12,1,0,0,2,4,21,14.6,-8,Ryan Anderson,6-9,240lb,1988
15,6,2013-11-29,25-207,NOP,@,PHI,W (+16),0,25:55,7,16,.438,4,9,.444,0,0,,3,5,8,2,0,0,2,3,18,11.4,+8,Ryan Anderson,6-9,240lb,1988
16,7,2013-12-01,25-209,NOP,@,NYK,W (+4),0,35:39,11,21,.524,7,11,.636,2,2,1.000,4,2,6,0,0,0,0,2,31,23.3,+15,Ryan Anderson,6-9,240lb,1988
17,8,2013-12-02,25-210,NOP,@,CHI,W (+3),1,56:30,12,20,.600,7,11,.636,5,5,1.000,4,2,6,0,0,1,1,4,36,28.3,+5,Ryan Anderson,6-9,240lb,1988
18,9,2013-12-04,25-212,NOP,,DAL,L (-3),1,41:51,6,19,.316,1,5,.200,5,5,1.000,7,7,14,1,0,0,1,2,18,13.0,+10,Ryan Anderson,6-9,240lb,1988
19,10,2013-12-06,25-214,NOP,,OKC,L (-14),1,38:32,5,17,.294,1,6,.167,7,8,.875,3,1,4,2,2,1,2,0,18,12.2,-15,Ryan Anderson,6-9,240lb,1988
20,11,2013-12-11,25-219,NOP,,DET,W (+5),1,35:49,6,18,.333,4,12,.333,6,6,1.000,1,0,1,1,1,1,0,4,22,13.3,+6,Ryan Anderson,6-9,240lb,1988
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ryan Anderson,6-9,240lb,1988
21,12,2013-12-13,25-221,NOP,,MEM,W (+6),1,39:26,7,19,.368,2,9,.222,2,2,1.000,3,4,7,2,0,1,1,2,18,11.1,+14,Ryan Anderson,6-9,240lb,1988
22,13,2013-12-15,25-223,NOP,@,DEN,L (-9),1,41:09,10,21,.476,2,7,.286,4,4,1.000,2,4,6,1,2,0,1,1,26,19.2,-12,Ryan Anderson,6-9,240lb,1988
23,14,2013-12-17,25-225,NOP,@,GSW,L (-11),1,29:22,6,16,.375,2,6,.333,7,7,1.000,3,3,6,0,0,0,0,2,21,14.4,-19,Ryan Anderson,6-9,240lb,1988
24,15,2013-12-18,25-226,NOP,@,LAC,L (-13),1,41:23,7,21,.333,3,9,.333,0,0,,5,4,9,1,0,0,2,2,17,7.7,-6,Ryan Anderson,6-9,240lb,1988
25,16,2013-12-21,25-229,NOP,@,POR,L (-3),1,41:33,7,17,.412,4,8,.500,0,0,,4,4,8,2,1,0,1,0,18,14.3,-5,Ryan Anderson,6-9,240lb,1988
26,17,2013-12-23,25-231,NOP,@,SAC,W (+13),1,27:25,3,9,.333,2,4,.500,0,0,,3,3,6,0,1,0,2,5,8,2.9,+16,Ryan Anderson,6-9,240lb,1988
27,18,2013-12-27,25-235,NOP,,DEN,W (+16),1,39:30,6,19,.316,4,11,.364,0,0,,5,5,10,1,0,0,1,1,16,9.4,+7,Ryan Anderson,6-9,240lb,1988
28,19,2013-12-28,25-236,NOP,@,HOU,L (-9),1,38:20,8,15,.533,3,8,.375,3,4,.750,4,8,12,1,1,0,1,4,22,18.6,-3,Ryan Anderson,6-9,240lb,1988
29,20,2013-12-30,25-238,NOP,,POR,W (+2),1,40:04,5,11,.455,1,5,.200,2,2,1.000,0,3,3,0,0,1,0,1,13,8.5,+6,Ryan Anderson,6-9,240lb,1988
30,21,2014-01-01,25-240,NOP,@,MIN,L (-12),1,40:29,10,17,.588,2,8,.250,3,3,1.000,4,1,5,2,0,0,0,3,25,20.4,-8,Ryan Anderson,6-9,240lb,1988
31,22,2014-01-03,25-242,NOP,@,BOS,W (+3),0,24:54,5,11,.455,1,3,.333,2,3,.667,3,4,7,0,0,0,1,2,13,8.4,+3,Ryan Anderson,6-9,240lb,1988
32,,2014-01-04,25-243,NOP,@,IND,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
33,,2014-01-07,25-246,NOP,@,MIA,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
34,,2014-01-08,25-247,NOP,,WAS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
35,,2014-01-10,25-249,NOP,,DAL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
36,,2014-01-11,25-250,NOP,@,DAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
37,,2014-01-13,25-252,NOP,,SAS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
38,,2014-01-15,25-254,NOP,,HOU,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
39,,2014-01-18,25-257,NOP,,GSW,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
40,,2014-01-20,25-259,NOP,@,MEM,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ryan Anderson,6-9,240lb,1988
41,,2014-01-21,25-260,NOP,,SAC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
42,,2014-01-24,25-263,NOP,@,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
43,,2014-01-26,25-265,NOP,,ORL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
44,,2014-01-28,25-267,NOP,@,CLE,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
45,,2014-01-29,25-268,NOP,@,MIN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
46,,2014-02-01,25-271,NOP,,CHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
47,,2014-02-03,25-273,NOP,,SAS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
48,,2014-02-05,25-275,NOP,,ATL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
49,,2014-02-07,25-277,NOP,,MIN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
50,,2014-02-09,25-279,NOP,@,BRK,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
51,,2014-02-10,25-280,NOP,@,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
52,,2014-02-12,25-282,NOP,@,MIL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
53,,2014-02-19,25-289,NOP,,NYK,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
54,,2014-02-21,25-291,NOP,@,CHA,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
55,,2014-02-22,25-292,NOP,@,WAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
56,,2014-02-24,25-294,NOP,,LAC,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
57,,2014-02-26,25-296,NOP,@,DAL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
58,,2014-02-28,25-298,NOP,@,PHO,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
59,,2014-03-01,25-299,NOP,@,LAC,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
60,,2014-03-03,25-301,NOP,@,SAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ryan Anderson,6-9,240lb,1988
61,,2014-03-04,25-302,NOP,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
62,,2014-03-07,25-305,NOP,,MIL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
63,,2014-03-09,25-307,NOP,,DEN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
64,,2014-03-12,25-310,NOP,,MEM,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
65,,2014-03-14,25-312,NOP,,POR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
66,,2014-03-16,25-314,NOP,,BOS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
67,,2014-03-19,25-317,NOP,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
68,,2014-03-21,25-319,NOP,@,ATL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Ryan Anderson,6-9,240lb,1988
69,,2014-03-22,25-320,NOP,,MIA,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
70,,2014-03-24,25-322,NOP,,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
71,,2014-03-26,25-324,NOP,,LAC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
72,,2014-03-28,25-326,NOP,,UTA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
73,,2014-03-29,25-327,NOP,@,SAS,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
74,,2014-03-31,25-329,NOP,,SAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
75,,2014-04-02,25-331,NOP,@,DEN,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
76,,2014-04-04,25-333,NOP,@,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
77,,2014-04-06,25-335,NOP,@,POR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
78,,2014-04-09,25-338,NOP,,PHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
79,,2014-04-11,25-340,NOP,@,OKC,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
80,,2014-04-12,25-341,NOP,@,HOU,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ryan Anderson,6-9,240lb,1988
81,,2014-04-14,25-343,NOP,,OKC,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
82,,2014-04-16,25-345,NOP,,HOU,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ryan Anderson,6-9,240lb,1988
1,1,2014-10-28,26-175,NOP,,ORL,W (+17),0,22:21,9,22,.409,3,6,.500,1,3,.333,7,2,9,0,0,0,0,2,22,14.1,+18,Ryan Anderson,6-9,240lb,1988
2,2,2014-11-01,26-179,NOP,,DAL,L (-5),0,29:06,5,11,.455,1,2,.500,0,0,,2,3,5,1,1,0,0,1,11,8.9,-6,Ryan Anderson,6-9,240lb,1988
3,3,2014-11-03,26-181,NOP,@,MEM,L (-12),0,27:28,2,14,.143,0,7,.000,3,3,1.000,3,6,9,0,0,1,0,5,7,0.6,-10,Ryan Anderson,6-9,240lb,1988
4,4,2014-11-04,26-182,NOP,,CHO,W (+9),0,26:09,7,12,.583,2,6,.333,0,0,,2,1,3,2,0,0,0,1,16,13.1,-6,Ryan Anderson,6-9,240lb,1988
5,5,2014-11-08,26-186,NOP,@,SAS,W (+1),0,24:32,3,10,.300,3,7,.429,0,0,,0,2,2,0,1,0,1,1,9,3.4,+4,Ryan Anderson,6-9,240lb,1988
6,6,2014-11-10,26-188,NOP,@,CLE,L (-7),0,34:05,11,19,.579,8,12,.667,2,2,1.000,2,3,5,3,1,0,0,2,32,27.7,-3,Ryan Anderson,6-9,240lb,1988
7,7,2014-11-12,26-190,NOP,,LAL,W (+7),0,20:05,7,12,.583,3,7,.429,0,0,,2,6,8,0,0,0,3,1,17,11.2,+5,Ryan Anderson,6-9,240lb,1988
8,8,2014-11-14,26-192,NOP,,MIN,W (+48),0,22:55,6,15,.400,4,8,.500,0,0,,0,6,6,1,0,0,1,2,16,8.6,+29,Ryan Anderson,6-9,240lb,1988
9,9,2014-11-17,26-195,NOP,@,POR,L (-9),0,35:55,5,11,.455,2,6,.333,0,0,,1,2,3,1,0,0,1,3,12,6.1,-14,Ryan Anderson,6-9,240lb,1988
10,10,2014-11-18,26-196,NOP,@,SAC,W (+6),0,31:39,9,17,.529,4,12,.333,0,0,,0,4,4,0,1,1,0,3,22,15.4,+15,Ryan Anderson,6-9,240lb,1988
11,11,2014-11-21,26-199,NOP,@,DEN,L (-20),0,26:38,2,11,.182,0,5,.000,6,7,.857,0,3,3,0,1,0,1,3,10,2.4,-29,Ryan Anderson,6-9,240lb,1988
12,12,2014-11-22,26-200,NOP,@,UTA,W (+12),0,30:02,2,15,.133,0,6,.000,1,2,.500,4,2,6,1,2,2,0,2,5,1.6,+3,Ryan Anderson,6-9,240lb,1988
13,13,2014-11-25,26-203,NOP,,SAC,L (-10),0,29:35,7,14,.500,3,7,.429,3,3,1.000,2,3,5,0,0,0,0,3,20,14.1,+6,Ryan Anderson,6-9,240lb,1988
14,14,2014-11-28,26-206,NOP,@,ATL,L (-9),0,29:29,8,16,.500,2,8,.250,2,2,1.000,6,1,7,1,0,0,2,3,20,14.0,-10,Ryan Anderson,6-9,240lb,1988
15,15,2014-11-29,26-207,NOP,@,WAS,L (-3),0,24:34,4,11,.364,1,4,.250,2,4,.500,3,3,6,2,1,0,0,3,11,8.3,0,Ryan Anderson,6-9,240lb,1988
16,16,2014-12-02,26-210,NOP,,OKC,W (+8),0,34:52,7,15,.467,2,7,.286,7,7,1.000,6,5,11,1,2,0,0,3,23,22.5,+4,Ryan Anderson,6-9,240lb,1988
17,17,2014-12-04,26-212,NOP,@,GSW,L (-27),0,26:02,2,9,.222,0,5,.000,0,0,,0,0,0,1,1,0,1,0,4,-0.8,-18,Ryan Anderson,6-9,240lb,1988
18,18,2014-12-06,26-214,NOP,@,LAC,L (-20),0,25:34,7,14,.500,2,8,.250,0,0,,1,2,3,0,1,0,2,5,16,7.3,-14,Ryan Anderson,6-9,240lb,1988
19,19,2014-12-07,26-215,NOP,@,LAL,W (+17),0,26:38,4,9,.444,2,5,.400,1,1,1.000,2,8,10,1,0,1,2,0,11,9.5,+9,Ryan Anderson,6-9,240lb,1988
20,20,2014-12-09,26-217,NOP,,NYK,W (+11),0,25:58,1,9,.111,0,5,.000,2,2,1.000,1,2,3,3,0,1,1,0,4,1.2,+5,Ryan Anderson,6-9,240lb,1988
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ryan Anderson,6-9,240lb,1988
21,21,2014-12-10,26-218,NOP,@,DAL,L (-5),0,30:13,3,8,.375,0,2,.000,7,7,1.000,3,2,5,0,0,0,4,3,13,6.1,0,Ryan Anderson,6-9,240lb,1988
22,22,2014-12-12,26-220,NOP,,CLE,W (+5),0,41:20,9,18,.500,8,14,.571,4,4,1.000,1,3,4,0,1,1,0,0,30,24.3,+9,Ryan Anderson,6-9,240lb,1988
23,23,2014-12-14,26-222,NOP,,GSW,L (-6),1,44:53,5,16,.313,2,8,.250,3,3,1.000,2,4,6,0,3,0,2,3,15,8.2,-3,Ryan Anderson,6-9,240lb,1988
24,24,2014-12-16,26-224,NOP,,UTA,W (+8),0,27:07,10,15,.667,6,10,.600,2,2,1.000,2,3,5,3,2,0,0,1,28,27.5,+16,Ryan Anderson,6-9,240lb,1988
25,25,2014-12-18,26-226,NOP,@,HOU,W (+9),0,29:37,6,11,.545,1,3,.333,3,3,1.000,3,3,6,1,0,0,1,3,16,12.2,+11,Ryan Anderson,6-9,240lb,1988
